SEM_EXM_EXCH_ID,SEM_TRADING_SYMBOL,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_SEGMENT
NSE,M&M,2031,M&M,EQUITY
NSE,MANAPPURAM,19061,MANAPPURAM,EQUITY
NSE,MANKIND,15380,MANKIND,EQUITY
NSE,MARICO,4067,MARICO,EQUITY
NSE,MARUTI,10999,MARUTI,EQUITY
NSE,MAXHEALTH,22377,MAXHEALTH,EQUITY
NSE,MAZDOCK,509,MAZDOCK,EQUITY
NSE,MCX,31181,MCX,EQUITY
NSE,MFSL,2142,MFSL,EQUITY
NSE,MOTHERSON,4204,MOTHERSON,EQUITY
NSE,MPHASIS,4503,MPHASIS,EQUITY
NSE,MUTHOOTFIN,23650,MUTHOOTFIN,EQUITY
NSE,NATIONALUM,6364,NATIONALUM,EQUITY
NSE,NAUKRI,13751,NAUKRI,EQUITY
NSE,NBCC,31415,NBCC,EQUITY
NSE,NESTLEIND,17963,NESTLEIND,EQUITY
NSE,NHPC,17400,NHPC,EQUITY
NSE,NMDC,15332,NMDC,EQUITY
NSE,NTPC,11630,NTPC,EQUITY
NSE,NUVAMA,18721,NUVAMA,EQUITY
NSE,NYKAA,6545,NYKAA,EQUITY
NSE,OBEROIRLTY,20242,OBEROIRLTY,EQUITY
NSE,OFSS,10738,OFSS,EQUITY
NSE,OIL,17438,OIL,EQUITY
NSE,ONGC,2475,ONGC,EQUITY
NSE,PAGEIND,14413,PAGEIND,EQUITY
NSE,PATANJALI,17029,PATANJALI,EQUITY
NSE,PAYTM,6705,PAYTM,EQUITY
NSE,PERSISTENT,18365,PERSISTENT,EQUITY
NSE,PETRONET,11351,PETRONET,EQUITY
NSE,PFC,14299,PFC,EQUITY
NSE,PGEL,25358,PGEL,EQUITY
NSE,PHOENIXLTD,14552,PHOENIXLTD,EQUITY
NSE,PIDILITIND,2664,PIDILITIND,EQUITY
NSE,PIIND,24184,PIIND,EQUITY
NSE,PNB,10666,PNB,EQUITY
NSE,PNBHOUSING,18908,PNBHOUSING,EQUITY
NSE,POLICYBZR,6656,POLICYBZR,EQUITY
NSE,POLYCAB,9590,POLYCAB,EQUITY
NSE,POWERGRID,14977,POWERGRID,EQUITY
NSE,POWERINDIA,18457,POWERINDIA,EQUITY
NSE,PPLPHARMA,11571,PPLPHARMA,EQUITY
NSE,PRESTIGE,20302,PRESTIGE,EQUITY
NSE,RBLBANK,18391,RBLBANK,EQUITY
NSE,RECLTD,15355,RECLTD,EQUITY
NSE,RELIANCE,2885,RELIANCE,EQUITY
NSE,RVNL,9552,RVNL,EQUITY
NSE,SAIL,2963,SAIL,EQUITY
NSE,SAMMAANCAP,30125,SAMMAANCAP,EQUITY
NSE,SBICARD,17971,SBICARD,EQUITY
NSE,SBILIFE,21808,SBILIFE,EQUITY
NSE,SBIN,3045,SBIN,EQUITY
NSE,SHREECEM,3103,SHREECEM,EQUITY
NSE,SHRIRAMFIN,4306,SHRIRAMFIN,EQUITY
NSE,SIEMENS,3150,SIEMENS,EQUITY
NSE,SOLARINDS,13332,SOLARINDS,EQUITY
NSE,SONACOMS,4684,SONACOMS,EQUITY
NSE,SRF,3273,SRF,EQUITY
NSE,SUNPHARMA,3351,SUNPHARMA,EQUITY
NSE,SUPREMEIND,3363,SUPREMEIND,EQUITY
NSE,SUZLON,12018,SUZLON,EQUITY
NSE,SYNGENE,10243,SYNGENE,EQUITY
NSE,TATACONSUM,3432,TATACONSUM,EQUITY
NSE,TATAELXSI,3411,TATAELXSI,EQUITY
NSE,TATAPOWER,3426,TATAPOWER,EQUITY
NSE,TATASTEEL,3499,TATASTEEL,EQUITY
NSE,TATATECH,20293,TATATECH,EQUITY
NSE,TCS,11536,TCS,EQUITY
NSE,TECHM,13538,TECHM,EQUITY
NSE,TIINDIA,312,TIINDIA,EQUITY
NSE,TITAN,3506,TITAN,EQUITY
NSE,TMPV,3456,TMPV,EQUITY
NSE,TORNTPHARM,3518,TORNTPHARM,EQUITY
NSE,TORNTPOWER,13786,TORNTPOWER,EQUITY
NSE,TRENT,1964,TRENT,EQUITY
NSE,TVSMOTOR,8479,TVSMOTOR,EQUITY
NSE,ULTRACEMCO,11532,ULTRACEMCO,EQUITY
NSE,UNIONBANK,10753,UNIONBANK,EQUITY
NSE,UNITDSPR,10447,UNITDSPR,EQUITY
NSE,UNOMINDA,14154,UNOMINDA,EQUITY
NSE,UPL,11287,UPL,EQUITY
NSE,VBL,18921,VBL,EQUITY
NSE,VEDL,3063,VEDL,EQUITY
NSE,VOLTAS,3718,VOLTAS,EQUITY
NSE,WIPRO,3787,WIPRO,EQUITY
NSE,YESBANK,11915,YESBANK,EQUITY
NSE,ZYDUSLIFE,7929,ZYDUSLIFE,EQUITY
NSE,BAJAJHLDNG,305,BAJAJHLDNG,EQUITY
NSE,PREMIERENE,25049,PREMIERENE,EQUITY
NSE,SWIGGY,27066,SWIGGY,EQUITY
NSE,WAAREEENER,25907,WAAREEENER,EQUITY
